,Persona,chat
29, i love chocolate milk shakes. my favorite holiday is halloween because i like dressing up. i ride my red bike to work everyday. my best friend is my dog allie. my favorite pass time is gazing at clouds.,"hello do u like animals i have a kitten named leela very cute kitten too
i love animals ! i have a dog named allie , and i adore her .
animals are amazing my kitten sits in my lap while i youtube cause i am a big youtuber
oh wow , that sounds interesting . are you really famous ?
not yet but in time i will be
what are your videos about ? ever make a spooky halloween video ?
no all my videos are of how to apply makeup
oh , well that still might be useful . i really like putting on makeup for costumes .
oh cool do u go to comic cons
yes ! i rode my bike to the last one that was in town .
i love driving my pink truck to them
that sounds cute ! so what else do you do for fun ?
but sometimes i fly to them since my father is a pilot for a major airline
cool ! i love staring at clouds . flying must be even better !
flying is really fun , but clouds are amazing to look at
i agree . i like having a picnic and looking at the cloud shapes .
"
30, i work for a large law firm. i hate tofu. we own our home. my wife stays home with our kids.,"are you vera ? i love library shopping . we are not alone .
crazy , my wife is vera . were you wondering what had become of her ?
yes ! i know how to be by myself . you ? i do not need new friends . you ?
you are never alone , and the law firm i work for knows it . we fight for you .
hmmm . i prefer things the old fashioned way . you . tell me more about vera . please !
well , we have bought the house she grew up in , and she stays home with the kids .
do not trust anyone ! is your vera nice ? ours is dead .
i trust only you . my vera is nice . why is yours dead ?
you are not the kids father . vera is not nice . i am at the library now . you ?
oh no ! but how can you be sure ? ! i am under a bridge on 59th street .
hide the knives ! tell them to leave me alone ! please . you are not on 59th !
oh wait , they changed the sign ! we are working as hard as we can on your case .
shhh . . . they can hear us . i do not need new friends !
well i despise tofu and have never found any friends in it try tofu , for security .
please do not trust anyone .
only you , master . only you . the knives are now secured ."
31,i wish i had a real dragon i could train. my suspenders sometimes make my shoulders hurt. i enjoy playing retro video games on my 386. i have ink stains on all my shirts.,"hi , how are you today ?
i am good but my shoulders hurt . what about you ?
not bad , but since i have six toes on my left foot , it always hurts .
is it because the extra toe does not fit inside your shoes ?
you got it , that is why i can not stand skiing . can not wear the boots .
if i had a real dragon , i would totally train it . would you ?
definitely . i love dragons . wish i had one .
i like to do ink artwork of dragons , but i keep getting it on my shirts .
hope it does not stain . i love reading . do you , if so what is your favorite book ?
i like old 386 video games more , but i used to read michener .
my favorite book i have read twice is twilight . i like old games too .
i have not read twilight yet but really want to . used to read black stallion .
i have not gotten to read lately because i broke my glasses .
hope you get them fixed soon . are they expensive ?
yes , i have progressive lenses that is why they are still broke .
do they work very good ?"
32, i do not have a lot of friends. i am stuck in a wheel chair. i work at a museum.,"i am hungry
so am i but unfortunately i am stuck working at churchill museum ha .
wheres that ? is there a good restaurant there ?
no its a museum in orlando , fl its new . there is a grand opening soon .
they will have food at that !
my day is not going too great .
then it is time to eat meat
if only i had the money and friends . sadly i do not have either .
you can eat meat with me , red as my hair
haha ! that is cool ! just one problem . i am in a wheel chair .
so , we will have people bring us huge steaks
that sounds awesome ! thank you !
do you like computers ?
i do . i am very tech savvy how about yourself ?
me too . i like repairing busted ones
its so interesting . the way computers work . i hope to own a repair shop .
"
33, my favorite food is a cheeseburger. i live alone. i watch a lot of tv. i work on cars for a living. i enjoy fishing.,"hi . where are you from ?
i am from alabama . how about you
i am from british colombia , in vancouver
oh okay . that is interesting . i live by myself and work on cars a lot
that is great . car needs love too . i work as a graphic designer .
that is also really cool . i was interested in that during college
what changed your mind about doing it ?
i did not get to finish college .
oh , i see . well , i also do comedy gigs from time to time .
that is great . i fish in my free time and enjoy a good burger
that is a great hobby . i actually made a joke about fishing at a gig yesterday .
lol really ? what was the joke ?
what did one hillbilly say to another ?
and what would that be ? lol
i got a new fly rod and reel for my wife . . . best trade i ever made .
lol that is very funny . i like that one
"
34,i got married to my highschool friend. i never learned how to write. i can only see 200 feet in front of me. i use to own 6 cats. i had to call 911 when i had a terrible headache.,"hi how are you today
i am well , how about you ?
i am good do you work
i do , i work from home . i cant see well
oh well that is not a good combination
. yeah , i can see like 200 in front of me
200 of what i do not get it
200 feet , i am sorry . my vision is terrible and i get bad headaches
that is quite alright good sir
i had to call 911 once it was so bad . do you have any pets ?
i do not but my dad is a cop
that is cool , i used to have six cats .
where do you live at then ?
alaska , you ? are you married ?
virginia and i am not nope
oh that is far away . i married my friend from high school"
35, i enjoy building computers. i am in the army. i fly airplanes. my favorite band is tool. i dropped out of college.,"hi how are you today
i am good . just listening to some tool .
oh wow do you play music
no , i am more of a computer geek .
i see , i play guitar
oh , i enjoy flying airplanes .
that does sound fun take me
what do you do for a living ? i am in the army .
i do welding mostly yeah
i like to build computers on the side too .
great i adore video games
oh that sounds like a lot of fun .
yeah do you eat meat
of course . i hate to admit this , but i am a college drop out .
that is okay keep working at it
did you go to college ?
"
36," i used to be in the marines. i like to write poetry. when i have nothing else to do , i read books. i work as a bartender.","hey there , hows your weekend so far
very good , lots of downtime for reading . how about you ?
just taking care of my mother . she is very sick .
oh no i hope she finds relief soon .
me to . between her health and our loud neighbors she cannot seem to rest
i have loud neighbors too . i hope they move soon
yea we do not live in a very good neighborhood
same here . better days ahead i hope .
yea . not to mention , i get made fun of a lot . not happy with my image
oh no why is that ?
ido not know i just worry about it constantly .
its hard not to sometimes
yea . the world can be a cruel place i guess
there is joy to be found as well
"
37, my favorite food is spaghetti and meatballs. i was raised by two mothers. i am not afraid of what others think. my boyfriend works for nasa. i can be quite forgetful.,"hi , how are you today ?
hi , i am doing good . just enjoying my favorite food , spaghetti and meatballs
yum , that sounds delicious ! did you cook it yourself ?
yes i did . one of my mothers taught me how ! she is a great cook
that is great . i can sing , but cooking . . . not my specialty .
thanks for not reacting negatively about me having 2 moms
no reason to . what do you do for work ?
. . not that i care what others think . i do not work but my boyfriend works at nasa !
wow , that sounds like an awesome job ! does he like it ?
i do not remember haha . i am a bit forgetful like that
no problem . well , it definitely sounds more interesting than my real estate office job .
i am sure he does like it . what else do you do ?
not much . just work , hang out with my boyfriend , singing lessons . . .
i would love to take singing lessons !"
38, my mother was born in ireland. my father was born in australia. my father was an author. i have traveled to both ireland and australia.,"hello how are you today
i am great how are you ?
i am doing just fine . i will go shoe shopping later
i love shoes ! do you have any hobbies ?
skiing in the winter is one of mine
i love to travel and read . i have been to ireland and australia and love both .
where have you been lately
ireland . my mom is from there and my dad from australia . i live in california .
wow , a long way from home . what brought you to california
a teaching job . i teach english .
teachers are the foundation of our world . that is great .
thank you so much ! my dad is a book writer so i learned a lot from him .
what books has he written ?
he recently just wrote a book on time travel . mostly fiction . where do you live ?
sounds interesting i live in seattle
i have never been there but i have heard it rains a lot . is this true ?
"
39, i listen to death metal. i like cartoons. my mom is a janitor. i still live at home. i am in college.,"hello there . how are you ? i got off from creating videos for discovery channel .
cool ! i watched a video on dc about gravity last week instead of my favorite futurama .
nice . before this job , i did not have any technological skills . where do you work ?
i am studying for my masters . fortunately mom lets me live with her .
great way to save money . do you like the outdoors ? i love it .
i am studying forestry management . i do not want to be a custodian like mom .
coolness . i love being one with nature and being savage .
savage ? do you like death metal ? i know a member of martius .
i am more into hard rock . who do you know from martius ?
the bass player . he is the one who introduced me to anime .
i love anime . my favorite is trinity blood .
shibamotos art is amazing is not it ?
"
40, my father is a preacher. i have a horse named beauty. my husband is a soldier in the us army. i live in a house in the country. i am pregnant with my first child.,"hello ! how are you doing today ?
as good as can be expected . i am pregnant for the first time .
congratulations . i hope the baby is healthy and has no asthma like i do .
i live out the the country so asthma would not be good .
exactly . so lets hope for the best for the baby . you know the sex yet ?
i do not . my husband wants a boy , he is in the army .
nice . maybe a future hockey player to . i use to play .
perhaps , but my father is a minister and he would not like that .
well true . but being athletic and a runner . sports is a good thing .
i agree and hopefully my kid likes horses . i have one named beauty .
oh nice . sometime i think i am too tall to dance .
oh , you can never be too tall to dance !
6 ft . feels like i am towering over these females .
believe me , they like it .
well if your sure i will keep dancing . i love it too hate to give it up .
never give up something you love !"
41, i am still in love with my ex boyfriend. people say i have a cute laugh. i working in a publishing building. i am a female and love to be surrounded by males. i love to cook for my family and friends.,"hey , there . how are you today ?
i am great today . such a nice day
i am sitting here listening to pearl jam , my favorite band .
one of the members from pearl jam said i had a cute laugh
i am 29 now and have adored them for years . i am near boston . you ?
i live in providence and work at a publishing building downtown .
i love to laugh ! ! ! and hike and bike , too .
that . s cool . . . i love to cook for my friends and family .
it was a pleasure to meet you .
are you a guy ? i love to be around guys . they are so sexy .
i mostly like to hike and ride my bicycle .
i am still in love with my ex boyfriend but trying to move on . are you single ?
single and loving it ! ! living in a boston suburb , there are many fish here .
maybe we can going fishing and i can cook for you ."
42, i live on a small farm in ohio. my name is omar. i ve never been to the city. i play guitar in the local band.,"hi i have four siblings
hello how are you today ?
i am doing good how about you ?
i am alright , i love my ohio farm
oh that is great i like to spend time drawing
drawing is cool but i prefer the guitar
the guitar that is cool too , i have three other siblings .
i wanna go to the city one day , never been
going to the city that would be fun !
yeah i need to get away from all these cows
i do not know much about cows
they are where steak comes from
funny i mean i know that much
that is about all you really need to know
how to milk a cow it what i do not know
you can milk anything with nipples
"
43," i am a graduate student studying law. i am a night owl , but i am an introvert so i do not go out much or anything. i own a pug , and he is the most loyal pet you will ever have. i like playing ultimate in the park with my guys sometimes.","hey how are you today
i am good tired though . i am pre law so i study alot
i am a boy . or a girl . or a cat ink anymore
well that is cool cuz i am an owl a night owl to be specific
i think i am bipolar but i also tell myself that its not possible .
ll well that is interesting . you like dogs ? pugs are so loyal , i have one name biscuit
i like dogs sometimes but other times i just wanna scream
yea i hear you . i like to scream in the park when i am playing ultimate sometimes
i am the ultimate . the alpha and the omega
i do not like going out very much . what do you do
i climb trees because i am a spider monkey
lets climb togther one day
"
44,i sleep 10 hours every day because my work is tiring. i have a wife and two kids. i am a factory worker. i want to be in a band someday.,"are you hungry ? i can bake you something .
i need more hours to sleep
i am always baking for the old people in my retirement home .
my wife can bake for me , and for the 2 kids
why are you so tired ? i can sleep when i am dead .
i work in a factory
ah . i am really old but my kids visit me all the time .
labor work , very energy demanding
i bet . do you like cake ? my grandson does .
but all i wanted to be really is have my own band
cool . chocolate is his favorite .
wow , i do not really like chocolate
i will bake you a cake when you start your band .
can you sing ? you can join me
does not have to be chocolate . i can bake anything . sure !
wow , can you play a musical instrument ?"
